"","gene_id","gene_name"
"350","ENSMUSG00000087010","1700041M05Rik"
"351","ENSMUSG00000100857","1700041M19Rik"
"352","ENSMUSG00000057402","1700042B14Rik"
"353","ENSMUSG00000078593","1700042G07Rik"
"354","ENSMUSG00000087044","1700042G15Rik"
"355","ENSMUSG00000086391","1700042O10Rik"
"356","ENSMUSG00000099911","1700044C05Rik"
"357","ENSMUSG00000100297","1700044K03Rik"
"358","ENSMUSG00000078492","1700045H11Rik"
"359","ENSMUSG00000085561","1700046C09Rik"
"360","ENSMUSG00000085437","1700047A11Rik"
"361","ENSMUSG00000085549","1700047F07Rik"
"362","ENSMUSG00000099349","1700047G03Rik"
"363","ENSMUSG00000094103","1700047I17Rik2"
"364","ENSMUSG00000087347","1700047K16Rik"
"365","ENSMUSG00000101762","1700047L14Rik"
"366","ENSMUSG00000100147","1700047M11Rik"
"367","ENSMUSG00000085637","1700048M11Rik"
"368","ENSMUSG00000043773","1700048O20Rik"
"369","ENSMUSG00000085077","1700049E15Rik"
"370","ENSMUSG00000079271","1700049E17Rik1"
"371","ENSMUSG00000072613","1700049E17Rik2"
"372","ENSMUSG00000101553","1700049E22Rik"
"373","ENSMUSG00000070709","1700049G17Rik"
"374","ENSMUSG00000011052","1700049J03Rik"
"375","ENSMUSG00000043859","1700049L16Rik"
"376","ENSMUSG00000086951","1700051A21Rik"
"377","ENSMUSG00000101912","1700052I22Rik"
"378","ENSMUSG00000099681","1700052K11Rik"
"379","ENSMUSG00000061759","1700052N19Rik"
"380","ENSMUSG00000099988","1700054A03Rik"
"381","ENSMUSG00000097001","1700054K02Rik"
"382","ENSMUSG00000100219","1700054K19Rik"
"383","ENSMUSG00000085889","1700054M17Rik"
"384","ENSMUSG00000093616","1700055C04Rik"
"385","ENSMUSG00000070997","1700055D18Rik"
"386","ENSMUSG00000037263","1700055N04Rik"
"387","ENSMUSG00000044854","1700056E22Rik"
"388","ENSMUSG00000084792","1700056N10Rik"
"389","ENSMUSG00000074139","1700057G04Rik"
"390","ENSMUSG00000084757","1700057H15Rik"
"391","ENSMUSG00000086007","1700057H21Rik"
"392","ENSMUSG00000089636","1700058P15Rik"
"393","ENSMUSG00000086887","1700060C16Rik"
"394","ENSMUSG00000078957","1700060C20Rik"
"395","ENSMUSG00000084970","1700060J05Rik"
"396","ENSMUSG00000099407","1700060O08Rik"
"397","ENSMUSG00000102060","1700061E17Rik"
"398","ENSMUSG00000085759","1700061E18Rik"
"399","ENSMUSG00000085580","1700061F12Rik"
"400","ENSMUSG00000024209","1700061G19Rik"
"401","ENSMUSG00000084948","1700061H18Rik"
"402","ENSMUSG00000028009","1700061I17Rik"
"403","ENSMUSG00000086366","1700061J23Rik"
"404","ENSMUSG00000100062","1700063A18Rik"
"405","ENSMUSG00000100837","1700063D05Rik"
